cod poblacion,poblacion,cod provincia,provincia
30,Murcia,30,Murcia
39,Totana,30,Murcia
39,Totana,30,Murcia
26,Mazarrón,30,Murcia
6,Aledo,30,Murcia
39,Totana,30,Murcia
26,Mazarrón,30,Murcia
26,Mazarrón,30,Murcia
16,Cartagena,30,Murcia
26,Mazarrón,30,Murcia
26,Mazarrón,30,Murcia
24,Lorca,30,Murcia
26,Mazarrón,30,Murcia
26,Mazarrón,30,Murcia
24,Lorca,30,Murcia
26,Mazarrón,30,Murcia
26,Mazarrón,30,Murcia
3,Águilas,30,Murcia
30,Murcia,30,Murcia
24,Lorca,30,Murcia
3,Águilas,30,Murcia
33,Puerto Lumbreras,30,Murcia
24,Lorca,30,Murcia
33,Puerto Lumbreras,30,Murcia
23,Librilla,30,Murcia
24,Lorca,30,Murcia
201,Pamplona/Iruña,31,Navarra
201,Pamplona/Iruña,31,Navarra
201,Pamplona/Iruña,31,Navarra
201,Pamplona/Iruña,31,Navarra
201,Pamplona/Iruña,31,Navarra
201,Pamplona/Iruña,31,Navarra
201,Pamplona/Iruña,31,Navarra
201,Pamplona/Iruña,31,Navarra
201,Pamplona/Iruña,31,Navarra
201,Pamplona/Iruña,31,Navarra
901,Barañáin/Barañain,31,Navarra
201,Pamplona/Iruña,31,Navarra
201,Pamplona/Iruña,31,Navarra
903,Berriozar,31,Navarra
902,Berrioplano/Berriobeiti,31,Navarra
16,Ansoáin/Antsoain,31,Navarra
201,Pamplona/Iruña,31,Navarra
201,Pamplona/Iruña,31,Navarra
201,Pamplona/Iruña,31,Navarra
206,Puente la Reina/Gares,31,Navarra
39,Artazu,31,Navarra
88,Noáin (Valle de Elorz)/Noain (Elortzibar),31,Navarra
88,Noáin (Valle de Elorz)/Noain (Elortzibar),31,Navarra
161,Mañeru,31,Navarra
74,Cirauqui/Zirauki,31,Navarra
257,Villatuerta,31,Navarra
147,Legarda,31,Navarra
246,Uterga,31,Navarra
38,Artajona,31,Navarra
167,Mendigorría,31,Navarra
183,Obanos,31,Navarra
180,Muruzábal,31,Navarra
89,Enériz/Eneritz,31,Navarra
7,Adiós,31,Navarra
18,Añorbe,31,Navarra
234,Ucar,31,Navarra
229,Tirapu,31,Navarra
906,Orkoien,31,Navarra
131,Iza/Itza,31,Navarra
193,Cendea de Olza/Oltza Zendea,31,Navarra
193,Cendea de Olza/Oltza Zendea,31,Navarra
194,Valle de Ollo/Ollaran,31,Navarra
118,Goñi,31,Navarra
131,Iza/Itza,31,Navarra
193,Cendea de Olza/Oltza Zendea,31,Navarra
262,Zabalza/Zabaltza,31,Navarra
75,Ciriza/Ziritza,31,Navarra
85,Etxauri,31,Navarra
83,Echarri/Etxarri,31,Navarra
253,Bidaurreta,31,Navarra
121,Guirguillano,31,Navarra
76,Cizur,31,Navarra
52,Belascoáin,31,Navarra
120,Guesálaz/Gesalatz,31,Navarra
214,Salinas de Oro/Jaitz,31,Navarra
260,Valle de Yerri/Deierri,31,Navarra
120,Guesálaz/Gesalatz,31,Navarra
154,Lezáun,31,Navarra
260,Valle de Yerri/Deierri,31,Navarra
2,Abárzuza/Abartzuza,31,Navarra
260,Valle de Yerri/Deierri,31,Navarra
907,Zizur Mayor/Zizur Nagusia,31,Navarra
76,Cizur,31,Navarra
905,Beriáin,31,Navarra
109,Galar,31,Navarra
23,Aranguren,31,Navarra
86,Valle de Egüés/Eguesibar,31,Navarra
40,Atez/Atetz,31,Navarra
136,Juslapeña,31,Navarra
136,Juslapeña,31,Navarra
101,Ezcabarte,31,Navarra
903,Berriozar,31,Navarra
902,Berrioplano/Berriobeiti,31,Navarra
97,Estella-Lizarra,31,Navarra
41,Ayegui/Aiegi,31,Navarra
29,Los Arcos,31,Navarra
204,Piedramillera,31,Navarra
166,Mendaza,31,Navarra
230,Torralba del Río,31,Navarra
175,Mues,31,Navarra
225,Sorlada,31,Navarra
170,Mirafuentes,31,Navarra
219,Sansol,31,Navarra
141,Lapoblación,31,Navarra
63,Cabredo,31,Navarra
116,Genevilla,31,Navarra
162,Marañón,31,Navarra
35,Armañanzas,31,Navarra
8,Aguilar de Codés,31,Navarra
43,Azuelo,31,Navarra
96,Espronceda,31,Navarra
230,Torralba del Río,31,Navarra
61,El Busto,31,Navarra
231,Torres del Río,31,Navarra
47,Bargota,31,Navarra
79,Desojo,31,Navarra
251,Viana,31,Navarra
26,Aras,31,Navarra
41,Ayegui/Aiegi,31,Navarra
125,Igúzquiza,31,Navarra
11,Allín/Allin,31,Navarra
168,Metauten,31,Navarra
255,Villamayor de Monjardín,31,Navarra
36,Arróniz,31,Navarra
160,Luquin,31,Navarra
125,Igúzquiza,31,Navarra
46,Barbarin,31,Navarra
200,Oteiza,31,Navarra
142,Larraga,31,Navarra
53,Berbinzana,31,Navarra
171,Miranda de Arga,31,Navarra
152,Lerín,31,Navarra
15,Andosilla,31,Navarra
12,Allo,31,Navarra
30,Arellano,31,Navarra
80,Dicastillo,31,Navarra
174,Morentin,31,Navarra
5,Aberin,31,Navarra
143,Larraona,31,Navarra
21,Aranarache/Aranaratxe,31,Navarra
100,Eulate,31,Navarra
13,Améscoa Baja,31,Navarra
1,Abáigar,31,Navarra
14,Ancín/Antzin,31,Navarra
177,Murieta,31,Navarra
184,Oco,31,Navarra
148,Legaria,31,Navarra
190,Olejua,31,Navarra
99,Etayo,31,Navarra
14,Ancín/Antzin,31,Navarra
182,Nazar,31,Navarra
166,Mendaza,31,Navarra
139,Lana,31,Navarra
265,Zúñiga,31,Navarra
260,Valle de Yerri/Deierri,31,Navarra
11,Allín/Allin,31,Navarra
120,Guesálaz/Gesalatz,31,Navarra
121,Guirguillano,31,Navarra
260,Valle de Yerri/Deierri,31,Navarra
5,Aberin,31,Navarra
257,Villatuerta,31,Navarra
224,Sesma,31,Navarra
227,Tafalla,31,Navarra
67,Carcastillo,31,Navarra
67,Carcastillo,31,Navarra
69,Cáseda,31,Navarra
179,Murillo el Fruto,31,Navarra
220,Santacara,31,Navarra
178,Murillo el Cuende,31,Navarra
169,Milagro,31,Navarra
254,Villafranca,31,Navarra
163,Marcilla,31,Navarra
202,Peralta/Azkoien,31,Navarra
107,Funes,31,Navarra
104,Falces,31,Navarra
65,Caparroso,31,Navarra
65,Caparroso,31,Navarra
164,Mélida,31,Navarra
178,Murillo el Cuende,31,Navarra
191,Olite/Erriberri,31,Navarra
178,Murillo el Cuende,31,Navarra
205,Pitillas,31,Navarra
51,Beire,31,Navarra
207,Pueyo,31,Navarra
114,Garínoain,31,Navarra
197,Orísoain,31,Navarra
45,Barásoain,31,Navarra
150,Leoz/Leotz,31,Navarra
192,Olóriz/Oloritz,31,Navarra
192,Olóriz/Oloritz,31,Navarra
238,Unzué/Untzue,31,Navarra
228,Tiebas-Muruarte de Reta,31,Navarra
228,Tiebas-Muruarte de Reta,31,Navarra
56,Biurrun-Olcoz,31,Navarra
216,Sangüesa/Zangoza,31,Navarra
135,Javier,31,Navarra
216,Sangüesa/Zangoza,31,Navarra
261,Yesa,31,Navarra
135,Javier,31,Navarra
59,Burgui/Burgi,31,Navarra
252,Vidángoz/Bidankoze,31,Navarra
113,Garde,31,Navarra
210,Roncal/Erronkari,31,Navarra
245,Urzainqui/Urzainki,31,Navarra
128,Isaba/Izaba,31,Navarra
247,Uztárroz/Uztarroze,31,Navarra
243,Urroz-Villa,31,Navarra
132,Izagaondoa,31,Navarra
237,Unciti,31,Navarra
19,Aoiz/Agoitz,31,Navarra
158,Lónguida/Longida,31,Navarra
28,Arce/Artzi,31,Navarra
158,Lónguida/Longida,31,Navarra
28,Arce/Artzi,31,Navarra
199,Oroz-Betelu/Orotz-Betelu,31,Navarra
159,Lumbier,31,Navarra
242,Urraul Bajo,31,Navarra
241,Urraul Alto,31,Navarra
242,Urraul Bajo,31,Navarra
181,Navascués/Nabaskoze,31,Navarra
222,Sarriés/Sartze,31,Navarra
181,Navascués/Nabaskoze,31,Navarra
111,Gallués/Galoze,31,Navarra
198,Oronz/Orontze,31,Navarra
119,Güesa/Gorza,31,Navarra
95,Esparza de Salazar/Espartza Zaraitzu,31,Navarra
181,Navascués/Nabaskoze,31,Navarra
71,Castillonuevo,31,Navarra
209,Romanzado,31,Navarra
241,Urraul Alto,31,Navarra
9,Aibar/Oibar,31,Navarra
146,Leache/Leatxe,31,Navarra
88,Noáin (Valle de Elorz)/Noain (Elortzibar),31,Navarra
172,Monreal/Elo,31,Navarra
237,Unciti,31,Navarra
124,Ibargoiti,31,Navarra
124,Ibargoiti,31,Navarra
242,Urraul Bajo,31,Navarra
158,Lónguida/Longida,31,Navarra
28,Arce/Artzi,31,Navarra
156,Lizoáin-Arriasgoiti,31,Navarra
156,Lizoáin-Arriasgoiti,31,Navarra
156,Lizoáin-Arriasgoiti,31,Navarra
156,Lizoáin-Arriasgoiti,31,Navarra
86,Valle de Egüés/Eguesibar,31,Navarra
155,Liédena,31,Navarra
69,Cáseda,31,Navarra
103,Ezprogui,31,Navarra
103,Ezprogui,31,Navarra
110,Gallipienzo/Galipentzu,31,Navarra
150,Leoz/Leotz,31,Navarra
151,Lerga,31,Navarra
94,Eslava,31,Navarra
217,San Martín de Unx,31,Navarra
235,Ujué,31,Navarra
232,Tudela,31,Navarra
108,Fustiñana,31,Navarra
62,Cabanillas,31,Navarra
106,Fontellas,31,Navarra
32,Arguedas,31,Navarra
249,Valtierra,31,Navarra
64,Cadreita,31,Navarra
68,Cascante,31,Navarra
176,Murchante,31,Navarra
233,Tulebras,31,Navarra
173,Monteagudo,31,Navarra
6,Ablitas,31,Navarra
171,Miranda de Arga,31,Navarra
48,Barillas,31,Navarra
78,Cortes,31,Navarra
57,Buñuel,31,Navarra
208,Ribaforada,31,Navarra
42,Azagra,31,Navarra
215,San Adrián,31,Navarra
66,Cárcar,31,Navarra
157,Lodosa,31,Navarra
165,Mendavia,31,Navarra
145,Lazagurría,31,Navarra
223,Sartaguda,31,Navarra
70,Castejón,31,Navarra
77,Corella,31,Navarra
72,Cintruénigo,31,Navarra
105,Fitero,31,Navarra
60,Burlada/Burlata,31,Navarra
258,Villava/Atarrabia,31,Navarra
122,Huarte/Uharte,31,Navarra
86,Valle de Egüés/Eguesibar,31,Navarra
86,Valle de Egüés/Eguesibar,31,Navarra
98,Esteribar,31,Navarra
92,Erro,31,Navarra
98,Esteribar,31,Navarra
92,Erro,31,Navarra
98,Esteribar,31,Navarra
58,Auritz/Burguete,31,Navarra
211,Orreaga/Roncesvalles,31,Navarra
248,Luzaide/Valcarlos,31,Navarra
248,Luzaide/Valcarlos,31,Navarra
195,Orbaizeta,31,Navarra
33,Aria,31,Navarra
34,Aribe,31,Navarra
256,Hiriberri/Villanueva de Aezkoa,31,Navarra
196,Orbara,31,Navarra
185,Ochagavía/Otsagabia,31,Navarra
133,Izalzu/Itzaltzu,31,Navarra
93,Ezcároz/Ezkaroze,31,Navarra
134,Jaurrieta,31,Navarra
3,Abaurregaina/Abaurrea Alta,31,Navarra
112,Garaioa,31,Navarra
4,Abaurrepea/Abaurrea Baja,31,Navarra
115,Garralda,31,Navarra
92,Erro,31,Navarra
92,Erro,31,Navarra
92,Erro,31,Navarra
92,Erro,31,Navarra
98,Esteribar,31,Navarra
98,Esteribar,31,Navarra
92,Erro,31,Navarra
50,Baztan,31,Navarra
264,Zugarramurdi,31,Navarra
239,Urdazubi/Urdax,31,Navarra
239,Urdazubi/Urdax,31,Navarra
50,Baztan,31,Navarra
50,Baztan,31,Navarra
50,Baztan,31,Navarra
50,Baztan,31,Navarra
54,Bertizarana,31,Navarra
50,Baztan,31,Navarra
221,Doneztebe/Santesteban,31,Navarra
87,Elgorriaga,31,Navarra
129,Ituren,31,Navarra
263,Zubieta,31,Navarra
213,Saldías,31,Navarra
90,Eratsun,31,Navarra
102,Ezkurra,31,Navarra
81,Donamaria,31,Navarra
187,Oiz,31,Navarra
244,Urroz,31,Navarra
137,Beintza-Labaien,31,Navarra
24,Arano,31,Navarra
117,Goizueta,31,Navarra
82,Etxalar,31,Navarra
153,Lesaka,31,Navarra
250,Bera,31,Navarra
250,Bera,31,Navarra
153,Lesaka,31,Navarra
22,Arantza,31,Navarra
259,Igantzi,31,Navarra
226,Sunbilla,31,Navarra
54,Bertizarana,31,Navarra
54,Bertizarana,31,Navarra
50,Baztan,31,Navarra
102,Ezkurra,31,Navarra
50,Baztan,31,Navarra
50,Baztan,31,Navarra
236,Ultzama,31,Navarra
17,Anue,31,Navarra
140,Lantz,31,Navarra
236,Ultzama,31,Navarra
101,Ezcabarte,31,Navarra
186,Odieta,31,Navarra
188,Olaibar,31,Navarra
10,Altsasu/Alsasua,31,Navarra
73,Ziordia,31,Navarra
189,Olazti/Olazagutía,31,Navarra
240,Urdiain,31,Navarra
130,Iturmendi,31,Navarra
44,Bakaiku,31,Navarra
84,Etxarri Aranatz,31,Navarra
91,Ergoiena,31,Navarra
138,Lakuntza,31,Navarra
27,Arbizu,31,Navarra
123,Uharte Arakil,31,Navarra
37,Arruazu,31,Navarra
25,Arakil,31,Navarra
127,Irañeta,31,Navarra
25,Arakil,31,Navarra
904,Irurtzun,31,Navarra
49,Basaburua,31,Navarra
126,Imotz,31,Navarra
40,Atez/Atetz,31,Navarra
186,Odieta,31,Navarra
25,Arakil,31,Navarra
131,Iza/Itza,31,Navarra
25,Arakil,31,Navarra
131,Iza/Itza,31,Navarra
126,Imotz,31,Navarra
49,Basaburua,31,Navarra
908,Lekunberri,31,Navarra
31,Areso,31,Navarra
144,Larraun,31,Navarra
144,Larraun,31,Navarra
144,Larraun,31,Navarra
149,Leitza,31,Navarra
55,Betelu,31,Navarra
20,Araitz,31,Navarra
144,Larraun,31,Navarra
136,Juslapeña,31,Navarra
131,Iza/Itza,31,Navarra
54,Ourense,32,Ourense
54,Ourense,32,Ourense
8,Barbadás,32,Ourense
54,Ourense,32,Ourense
54,Ourense,32,Ourense
54,Ourense,32,Ourense
8,Barbadás,32,Ourense
75,San Cibrao das Viñas,32,Ourense
26,Coles,32,Ourense
87,Vilamarín,32,Ourense
87,Vilamarín,32,Ourense
54,Ourense,32,Ourense
55,Paderne de Allariz,32,Ourense
55,Paderne de Allariz,32,Ourense
87,Vilamarín,32,Ourense
59,A Peroxa,32,Ourense
76,San Cristovo de Cea,32,Ourense
24,Lorca,30,Murcia
76,San Cristovo de Cea,32,Ourense
76,San Cristovo de Cea,32,Ourense
61,Piñor,32,Ourense
76,San Cristovo de Cea,32,Ourense
76,San Cristovo de Cea,32,Ourense
76,San Cristovo de Cea,32,Ourense
61,Piñor,32,Ourense
61,Piñor,32,Ourense
76,San Cristovo de Cea,32,Ourense
87,Vilamarín,32,Ourense
87,Vilamarín,32,Ourense
76,San Cristovo de Cea,32,Ourense
59,A Peroxa,32,Ourense
59,A Peroxa,32,Ourense
26,Coles,32,Ourense
59,A Peroxa,32,Ourense
26,Coles,32,Ourense
52,Nogueira de Ramuín,32,Ourense
52,Nogueira de Ramuín,32,Ourense
52,Nogueira de Ramuín,32,Ourense
52,Nogueira de Ramuín,32,Ourense
52,Nogueira de Ramuín,32,Ourense
2,Amoeiro,32,Ourense
2,Amoeiro,32,Ourense
2,Amoeiro,32,Ourense
54,Ourense,32,Ourense
27,Cortegada,32,Ourense
27,Cortegada,32,Ourense
33,Gomesende,32,Ourense
27,Cortegada,32,Ourense
56,Padrenda,32,Ourense
56,Padrenda,32,Ourense
56,Padrenda,32,Ourense
56,Padrenda,32,Ourense
56,Padrenda,32,Ourense
64,Pontedeva,32,Ourense
56,Padrenda,32,Ourense
9,O Barco de Valdeorras,32,Ourense
73,Rubiá,32,Ourense
73,Rubiá,32,Ourense
73,Rubiá,32,Ourense
9,O Barco de Valdeorras,32,Ourense
9,O Barco de Valdeorras,32,Ourense
88,Vilamartín de Valdeorras,32,Ourense
9,O Barco de Valdeorras,32,Ourense
88,Vilamartín de Valdeorras,32,Ourense
9,O Barco de Valdeorras,32,Ourense
9,O Barco de Valdeorras,32,Ourense
73,Rubiá,32,Ourense
73,Rubiá,32,Ourense
17,Carballeda de Valdeorras,32,Ourense
17,Carballeda de Valdeorras,32,Ourense
17,Carballeda de Valdeorras,32,Ourense
17,Carballeda de Valdeorras,32,Ourense
17,Carballeda de Valdeorras,32,Ourense
17,Carballeda de Valdeorras,32,Ourense
17,Carballeda de Valdeorras,32,Ourense
17,Carballeda de Valdeorras,32,Ourense
88,Vilamartín de Valdeorras,32,Ourense
88,Vilamartín de Valdeorras,32,Ourense
88,Vilamartín de Valdeorras,32,Ourense
72,A Rúa,32,Ourense
60,Petín,32,Ourense
60,Petín,32,Ourense
72,A Rúa,32,Ourense
38,Larouco,32,Ourense
15,O Bolo,32,Ourense
83,A Veiga,32,Ourense
38,Larouco,32,Ourense
72,A Rúa,32,Ourense
83,A Veiga,32,Ourense
83,A Veiga,32,Ourense
83,A Veiga,32,Ourense
83,A Veiga,32,Ourense
83,A Veiga,32,Ourense
83,A Veiga,32,Ourense
60,Petín,32,Ourense
38,Larouco,32,Ourense
60,Petín,32,Ourense
38,Larouco,32,Ourense
15,O Bolo,32,Ourense
15,O Bolo,32,Ourense
15,O Bolo,32,Ourense
44,Manzaneda,32,Ourense
15,O Bolo,32,Ourense
69,Ribadavia,32,Ourense
46,Melón,32,Ourense
46,Melón,32,Ourense
18,Carballeda de Avia,32,Ourense
18,Carballeda de Avia,32,Ourense
69,Ribadavia,32,Ourense
69,Ribadavia,32,Ourense
69,Ribadavia,32,Ourense
18,Carballeda de Avia,32,Ourense
3,A Arnoia,32,Ourense
52,Nogueira de Ramuín,32,Ourense
69,Ribadavia,32,Ourense
69,Ribadavia,32,Ourense
40,Leiro,32,Ourense
40,Leiro,32,Ourense
40,Leiro,32,Ourense
40,Leiro,32,Ourense
40,Leiro,32,Ourense
40,Leiro,32,Ourense
22,Castrelo de Miño,32,Ourense
10,Beade,32,Ourense
10,Beade,32,Ourense
18,Carballeda de Avia,32,Ourense
18,Carballeda de Avia,32,Ourense
59,A Peroxa,32,Ourense
52,Nogueira de Ramuín,32,Ourense
59,A Peroxa,32,Ourense
25,Cenlle,32,Ourense
65,Punxín,32,Ourense
74,San Amaro,32,Ourense
25,Cenlle,32,Ourense
74,San Amaro,32,Ourense
65,Punxín,32,Ourense
34,A Gudiña,32,Ourense
65,Punxín,32,Ourense
25,Cenlle,32,Ourense
48,A Mezquita,32,Ourense
19,O Carballiño,32,Ourense
19,O Carballiño,32,Ourense
19,O Carballiño,32,Ourense
13,Boborás,32,Ourense
19,O Carballiño,32,Ourense
13,Boborás,32,Ourense
19,O Carballiño,32,Ourense
74,San Amaro,32,Ourense
19,O Carballiño,32,Ourense
11,Beariz,32,Ourense
13,Boborás,32,Ourense
4,Avión,32,Ourense
13,Boborás,32,Ourense
13,Boborás,32,Ourense
13,Boborás,32,Ourense
13,Boborás,32,Ourense
13,Boborás,32,Ourense
13,Boborás,32,Ourense
35,O Irixo,32,Ourense
35,O Irixo,32,Ourense
13,Boborás,32,Ourense
19,O Carballiño,32,Ourense
35,O Irixo,32,Ourense
35,O Irixo,32,Ourense
35,O Irixo,32,Ourense
35,O Irixo,32,Ourense
35,O Irixo,32,Ourense
34,A Gudiña,32,Ourense
34,A Gudiña,32,Ourense
